segment_name,wpm
guXxy8LH2QM_seg001,176.35
guXxy8LH2QM_seg002,151.82
guXxy8LH2QM_seg003,160.33
guXxy8LH2QM_seg004,168.82
guXxy8LH2QM_seg005,189.94
guXxy8LH2QM_seg006,175.73
guXxy8LH2QM_seg007,182.04
guXxy8LH2QM_seg008,169.04
guXxy8LH2QM_seg009,165.1
guXxy8LH2QM_seg010,157.94
hJnEQCMA5Sg_seg002,212.32
hJnEQCMA5Sg_seg004,157.89
hJnEQCMA5Sg_seg005,170.59
hJnEQCMA5Sg_seg006,156.66
hJnEQCMA5Sg_seg007,165.21
hJnEQCMA5Sg_seg010,191.65
hJnEQCMA5Sg_seg011,161.53
hJnEQCMA5Sg_seg012,175.18
hJnEQCMA5Sg_seg013,182.46
hJnEQCMA5Sg_seg014,182.62
hJnEQCMA5Sg_seg016,168.35
hJnEQCMA5Sg_seg017,175.62
hJnEQCMA5Sg_seg019,190.45
hJnEQCMA5Sg_seg020,171.83
IcaDZK1Njb0_seg000,96.08
IcaDZK1Njb0_seg001,92.22
IcaDZK1Njb0_seg002,107.05
IcaDZK1Njb0_seg003,97.6
IcaDZK1Njb0_seg004,66.38
IcaDZK1Njb0_seg005,76.54
IcaDZK1Njb0_seg006,86.12
IcaDZK1Njb0_seg007,79.85
IcaDZK1Njb0_seg008,95.14
IcaDZK1Njb0_seg009,88.24
IcaDZK1Njb0_seg010,88.15
IcaDZK1Njb0_seg011,75.75
IcaDZK1Njb0_seg012,82.55
IcaDZK1Njb0_seg013,90.3
IcaDZK1Njb0_seg014,93.39
IcaDZK1Njb0_seg015,92.72
IcaDZK1Njb0_seg016,107.51
IcaDZK1Njb0_seg018,65.97
IcaDZK1Njb0_seg019,82.54
IcaDZK1Njb0_seg020,81.04
IcaDZK1Njb0_seg021,86.72
Ie9cACQnqew_seg000,72.64
Ie9cACQnqew_seg001,99.25
Ie9cACQnqew_seg003,65.85
Ie9cACQnqew_seg004,67.54
Ie9cACQnqew_seg005,73.61
Ie9cACQnqew_seg006,64.21
Ie9cACQnqew_seg007,69.29
Ie9cACQnqew_seg008,59.03
Ie9cACQnqew_seg009,78.86
Ie9cACQnqew_seg010,67.58
Ie9cACQnqew_seg011,93.75
Ie9cACQnqew_seg012,67.28
Ie9cACQnqew_seg013,81.08
Ie9cACQnqew_seg014,60.15
Ie9cACQnqew_seg015,94.67
Ie9cACQnqew_seg016,82.1
Ie9cACQnqew_seg017,94.94
Ie9cACQnqew_seg018,67.89
Ie9cACQnqew_seg019,87.73
Ie9cACQnqew_seg020,91.58
Ie9cACQnqew_seg021,94.35
Ie9cACQnqew_seg022,65.22
Ie9cACQnqew_seg023,82.03
Ie9cACQnqew_seg024,77.07
Ie9cACQnqew_seg025,88.71
Ie9cACQnqew_seg026,65.45
iG9CE55wbtY_seg000,141.18
iG9CE55wbtY_seg001,151.32
iG9CE55wbtY_seg002,209.63
iG9CE55wbtY_seg003,173.3
iG9CE55wbtY_seg004,181.52
iG9CE55wbtY_seg005,119.81
iG9CE55wbtY_seg006,134.57
iG9CE55wbtY_seg007,187.44
iG9CE55wbtY_seg008,169.1
iG9CE55wbtY_seg009,200.45
iG9CE55wbtY_seg010,180.25
iG9CE55wbtY_seg011,164.98
iG9CE55wbtY_seg012,100.62
iG9CE55wbtY_seg013,170.92
iG9CE55wbtY_seg014,225.32
iG9CE55wbtY_seg015,190.88
iG9CE55wbtY_seg016,202.85
iG9CE55wbtY_seg017,138.16
iG9CE55wbtY_seg018,143.82
iG9CE55wbtY_seg019,215.05
iG9CE55wbtY_seg020,199.55
iG9CE55wbtY_seg021,198.75
iG9CE55wbtY_seg022,196.41
iG9CE55wbtY_seg023,197.6
iG9CE55wbtY_seg024,153.32
iG9CE55wbtY_seg025,182.17
iG9CE55wbtY_seg026,251.84
iG9CE55wbtY_seg027,183.01
iG9CE55wbtY_seg028,273.69
iG9CE55wbtY_seg029,203.59
iG9CE55wbtY_seg030,161.95
iG9CE55wbtY_seg031,178.61
iG9CE55wbtY_seg032,175.96
jMVAgCPYYHY_seg000,126.02
jMVAgCPYYHY_seg001,137.21
jMVAgCPYYHY_seg002,149.95
jMVAgCPYYHY_seg003,140.64
jMVAgCPYYHY_seg006,165.63
jMVAgCPYYHY_seg007,149.2
jMVAgCPYYHY_seg008,116.63
jMVAgCPYYHY_seg009,205.26
jMVAgCPYYHY_seg010,145.78
jMVAgCPYYHY_seg011,179.55
jMVAgCPYYHY_seg014,186.4
jMVAgCPYYHY_seg015,165.09
jMVAgCPYYHY_seg016,178.16
jQ95xlZeHo8_seg000,157.32
jQ95xlZeHo8_seg001,148.17
jQ95xlZeHo8_seg002,136.98
jQ95xlZeHo8_seg003,217.83
jQ95xlZeHo8_seg004,188.06
jQ95xlZeHo8_seg005,190.97
jQ95xlZeHo8_seg006,205.51
jQ95xlZeHo8_seg007,162.55
jQ95xlZeHo8_seg008,182.78
jQ95xlZeHo8_seg009,190.1
Ks-_Mh1QhMc_seg000,173.94
Ks-_Mh1QhMc_seg003,203.0
Ks-_Mh1QhMc_seg004,181.47
Ks-_Mh1QhMc_seg005,168.13
Ks-_Mh1QhMc_seg006,169.65
Ks-_Mh1QhMc_seg009,191.75
Ks-_Mh1QhMc_seg010,238.78
Ks-_Mh1QhMc_seg011,196.16
Ks-_Mh1QhMc_seg013,172.58
Ks-_Mh1QhMc_seg014,200.6
Ks-_Mh1QhMc_seg015,170.9
Ks-_Mh1QhMc_seg016,176.97
Ks-_Mh1QhMc_seg017,195.84
Ks-_Mh1QhMc_seg021,160.73
Ks-_Mh1QhMc_seg022,212.36
